test_case,renderer,platform,run,seconds,rss_kib,pss_kib,uss_kib,anonymous_kib,swap_kib,swap_pss_kib,cpu_percent,vm_hwm_kib,peak_rss_kib
idle,skia-software,x11,1,5,38556,28593,25908,8256,0,0,4.80,38556,38556
idle,skia-software,x11,1,10,38556,28589,25900,8256,0,0,0.00,38556,38556
idle,skia-software,x11,1,20,38556,28599,25916,8256,0,0,0.00,38556,38556
idle,skia-software,x11,1,30,38556,28589,25900,8256,0,0,0.00,38556,38556
idle,skia-software,x11,1,45,38556,28600,25916,8256,0,0,0.00,38556,38556
idle,skia-software,x11,2,5,38580,28771,26100,8264,0,0,3.20,38580,38580
idle,skia-software,x11,2,10,38580,28767,26100,8264,0,0,0.00,38580,38580
idle,skia-software,x11,2,20,38580,28771,26100,8264,0,0,0.00,38580,38580
idle,skia-software,x11,2,30,38580,28771,26100,8264,0,0,0.00,38580,38580
idle,skia-software,x11,2,45,38580,28740,26048,8264,0,0,0.00,38580,38580
idle,skia-software,x11,3,5,38700,28813,26124,8260,0,0,3.60,38700,38700
idle,skia-software,x11,3,10,38700,28812,26124,8260,0,0,0.00,38700,38700
idle,skia-software,x11,3,20,38700,28810,26124,8260,0,0,0.00,38700,38700
idle,skia-software,x11,3,30,38700,28815,26132,8260,0,0,0.00,38700,38700
idle,skia-software,x11,3,45,38700,28774,26052,8260,0,0,0.00,38700,38700
content-lifecycle-soak,skia-software,x11,1,5,38856,28882,26176,8308,0,0,3.60,38856,38856
content-lifecycle-soak,skia-software,x11,1,10,39844,29866,27160,9168,0,0,2.00,39844,39844
content-lifecycle-soak,skia-software,x11,1,20,39844,29871,27164,9168,0,0,99.39,39844,39844
content-lifecycle-soak,skia-software,x11,1,60,39792,29818,27112,9116,0,0,54.73,39792,39844
content-lifecycle-soak,skia-software,x11,1,120,39792,29815,27108,9116,0,0,0.00,39792,39844
content-lifecycle-soak,skia-software,x11,1,300,39792,29782,27068,9116,0,0,0.00,39792,39844
content-lifecycle-soak,skia-software,x11,1,600,39792,29781,27068,9116,0,0,0.00,39792,39844
content-lifecycle-soak,skia-software,x11,1,615,39792,29780,27064,9116,0,0,0.00,39792,39844
