test_case,renderer,platform,run,seconds,rss_kib,pss_kib,uss_kib,anonymous_kib,swap_kib,swap_pss_kib,cpu_percent,vm_hwm_kib,peak_rss_kib
idle,skia-software,x11,1,5,38156,27838,25000,8232,0,0,3.40,38156,38156
idle,skia-software,x11,1,10,38156,27836,25000,8232,0,0,0.00,38156,38156
idle,skia-software,x11,1,20,38156,27838,25000,8232,0,0,0.00,38156,38156
idle,skia-software,x11,1,30,38156,27839,25000,8232,0,0,0.00,38156,38156
idle,skia-software,x11,1,45,38156,27838,25000,8232,0,0,0.00,38156,38156
idle,skia-software,x11,2,5,38492,28279,25436,8228,0,0,1.20,38492,38492
idle,skia-software,x11,2,10,38492,28263,25408,8228,0,0,0.00,38492,38492
idle,skia-software,x11,2,20,38492,28271,25424,8228,0,0,0.00,38492,38492
idle,skia-software,x11,2,30,38492,28279,25436,8228,0,0,0.00,38492,38492
idle,skia-software,x11,2,45,38492,28264,25408,8228,0,0,0.00,38492,38492
idle,skia-software,x11,3,5,38260,27950,25088,8236,0,0,3.60,38260,38260
idle,skia-software,x11,3,10,38260,27948,25088,8236,0,0,0.00,38260,38260
idle,skia-software,x11,3,20,38260,27950,25088,8236,0,0,0.00,38260,38260
idle,skia-software,x11,3,30,38260,27949,25088,8236,0,0,0.00,38260,38260
idle,skia-software,x11,3,45,38260,27951,25088,8236,0,0,0.00,38260,38260
content-lifecycle,skia-software,x11,1,5,38640,28281,25412,8284,0,0,1.40,38640,38640
content-lifecycle,skia-software,x11,1,10,39684,29323,26456,9136,0,0,4.59,39684,39684
content-lifecycle,skia-software,x11,1,20,39684,29325,26456,9136,0,0,99.49,39684,39684
content-lifecycle,skia-software,x11,1,40,39684,29328,26464,9136,0,0,99.40,39684,39684
content-lifecycle,skia-software,x11,1,60,39632,29270,26404,9084,0,0,26.28,39632,39684
content-lifecycle,skia-software,x11,1,75,39632,29273,26404,9084,0,0,0.00,39632,39684
