test_case,renderer,platform,run,seconds,rss_kib,pss_kib,uss_kib,anonymous_kib,swap_kib,swap_pss_kib,cpu_percent,vm_hwm_kib,peak_rss_kib
idle,skia-software,x11,1,5,38264,24763,20932,8188,0,0,1.80,38264,38264
idle,skia-software,x11,1,10,38264,24764,20932,8188,0,0,0.00,38264,38264
idle,skia-software,x11,1,20,38264,24764,20936,8188,0,0,0.00,38264,38264
idle,skia-software,x11,1,30,38264,24742,20936,8188,0,0,0.00,38264,38264
idle,skia-software,x11,1,45,38264,24538,20828,8188,0,0,0.00,38264,38264
idle,skia-software,x11,2,5,38316,24768,21124,8184,0,0,3.39,38316,38316
idle,skia-software,x11,2,10,38316,24769,21124,8184,0,0,0.00,38316,38316
idle,skia-software,x11,2,20,38316,24768,21124,8184,0,0,0.00,38316,38316
idle,skia-software,x11,2,30,38316,24770,21124,8184,0,0,0.00,38316,38316
idle,skia-software,x11,2,45,38316,24769,21124,8184,0,0,0.00,38316,38316
idle,skia-software,x11,3,5,38660,24921,21252,8184,0,0,3.60,38660,38660
idle,skia-software,x11,3,10,38660,24920,21252,8184,0,0,0.00,38660,38660
idle,skia-software,x11,3,20,38660,24909,21232,8184,0,0,0.00,38660,38660
idle,skia-software,x11,3,30,38660,24921,21252,8184,0,0,0.00,38660,38660
idle,skia-software,x11,3,45,38660,24921,21252,8184,0,0,0.00,38660,38660
write-search-1,skia-software,x11,1,5,38200,24528,20888,8188,0,0,3.80,38200,38200
write-search-1,skia-software,x11,1,10,38200,24532,20888,8188,0,0,0.00,38200,38200
write-search-1,skia-software,x11,1,60,38696,25023,21384,8556,0,0,18.50,38696,38696
write-search-1,skia-software,x11,1,120,38792,25119,21480,8652,0,0,20.46,38792,38792
write-search-1,skia-software,x11,1,240,38940,25267,21628,8800,0,0,19.94,38940,38940
write-search-1,skia-software,x11,1,360,39068,25400,21756,8928,0,0,19.83,39068,39068
write-search-1,skia-software,x11,1,420,39100,25430,21788,8960,3200,0,9.20,39100,39100
write-search-1,skia-software,x11,1,480,39072,25396,21760,8960,3200,0,0.00,39072,39100
write-search-1,skia-software,x11,1,600,39072,25396,21760,8960,3200,0,0.00,39072,39100
write-search-1,skia-software,x11,1,720,39052,25356,21728,8960,8120,0,0.00,39052,39100
write-search-1,skia-software,x11,1,735,35780,22002,18344,6056,11024,2904,0.00,37780,39100
write-search-2,skia-software,x11,1,5,38100,24578,21016,8644,7612,0,3.60,38100,38100
write-search-2,skia-software,x11,1,10,38100,24564,21000,8644,7612,0,0.20,38100,38100
write-search-2,skia-software,x11,1,60,33684,20032,16368,4196,13488,4872,20.19,37080,38100
write-search-2,skia-software,x11,1,120,29300,15685,12016,4192,17944,5004,22.36,37080,38100
write-search-2,skia-software,x11,1,240,23268,10278,7600,4068,20892,5400,23.25,37080,38100
write-search-2,skia-software,x11,1,360,22284,10283,7652,4108,20948,5488,20.85,37080,38100
write-search-2,skia-software,x11,1,420,22248,10528,7892,4256,20788,5372,10.21,37080,38100
write-search-2,skia-software,x11,1,480,22116,10426,7792,4160,20888,5468,0.00,37080,38100
write-search-2,skia-software,x11,1,600,13784,2917,560,252,28196,9376,0.01,37080,38100
write-search-2,skia-software,x11,1,720,9116,698,424,248,32428,9380,0.00,37080,38100
write-search-2,skia-software,x11,1,735,8404,688,424,248,32428,9380,0.00,37080,38100
pagination-1,skia-software,x11,1,5,33948,21579,17264,8192,11992,0,5.20,33948,33948
pagination-1,skia-software,x11,1,10,33544,21089,16688,8192,11992,0,0.00,33544,33948
pagination-1,skia-software,x11,1,60,32564,19859,15688,8340,11976,0,89.36,32768,33948
pagination-1,skia-software,x11,1,120,31960,20240,16704,8408,11976,0,99.52,32768,33948
pagination-1,skia-software,x11,1,180,23120,11479,8016,3840,20216,4584,79.68,32768,33948
pagination-1,skia-software,x11,1,240,20108,9778,7008,3536,20688,4888,0.02,32768,33948
pagination-1,skia-software,x11,1,300,19940,9714,6984,3528,20704,4896,0.00,32768,33948
pagination-1,skia-software,x11,1,360,20280,9896,7180,3612,20500,4812,0.10,32768,33948
pagination-1,skia-software,x11,1,375,17784,7452,4692,2312,22968,6112,0.00,32768,33948
pagination-2,skia-software,x11,1,5,34088,23138,19820,8180,11968,0,4.99,34088,34088
pagination-2,skia-software,x11,1,10,34088,23136,19816,8180,11968,0,0.00,34088,34088
pagination-2,skia-software,x11,1,60,33824,22874,19556,8348,11956,0,88.65,33824,34088
pagination-2,skia-software,x11,1,120,33908,22968,19660,8432,11956,0,98.24,33908,34088
pagination-2,skia-software,x11,1,180,24632,11209,7640,3428,20688,5004,67.78,32380,34088
pagination-2,skia-software,x11,1,240,23976,10487,6944,3528,20584,4904,0.05,32380,34088
pagination-2,skia-software,x11,1,300,23888,10454,6872,3528,20584,4904,0.00,32380,34088
pagination-2,skia-software,x11,1,360,23616,10297,6816,3488,20628,4944,0.00,32380,34088
pagination-2,skia-software,x11,1,375,23552,10276,6812,3484,20632,4948,0.00,32380,34088
