renderer,platform,run,seconds,rss_kib,pss_kib,uss_kib,anonymous_kib,cpu_percent
skia-software,x11,1,3,38124,24890,20988,8176,5.99
skia-software,x11,1,6,45332,32104,28208,15384,33.88
skia-software,x11,1,15,45676,32438,28532,15728,93.33
skia-software,x11,1,30,45724,32487,28580,15776,93.67
skia-software,x11,1,45,45748,32512,28604,15800,93.26
skia-software,x11,1,60,45760,32522,28616,15812,93.01
skia-software,x11,1,90,45768,32531,28624,15820,93.13
skia-software,x11,1,120,45768,32532,28624,15820,80.51
skia-software,x11,1,130,45768,32531,28624,15820,0.00
skia-software,x11,1,140,45768,32541,28644,15820,0.00
skia-software,x11,1,150,45768,32541,28644,15820,0.00
skia-software,x11,1,180,46088,32860,28964,15820,8.96
