test_case,renderer,platform,run,seconds,rss_kib,pss_kib,uss_kib,anonymous_kib,swap_kib,swap_pss_kib,cpu_percent,vm_hwm_kib,peak_rss_kib
m3-idle,skia-software,x11,1,5,36792,27166,24524,6352,0,0,1.20,36792,36792
m3-idle,skia-software,x11,1,10,36792,27176,24528,6352,0,0,0.00,36792,36792
m3-idle,skia-software,x11,1,20,36792,27174,24528,6352,0,0,0.00,36792,36792
m3-idle,skia-software,x11,1,30,36792,27174,24532,6352,0,0,0.00,36792,36792
m3-idle,skia-software,x11,1,45,36792,27176,24528,6352,0,0,0.00,36792,36792
m3-idle,skia-software,x11,2,5,36428,26868,24212,5980,0,0,0.80,36428,36428
m3-idle,skia-software,x11,2,10,36428,26867,24212,5980,0,0,0.00,36428,36428
m3-idle,skia-software,x11,2,20,36428,26880,24236,5980,0,0,0.00,36428,36428
m3-idle,skia-software,x11,2,30,36428,26879,24236,5980,0,0,0.00,36428,36428
m3-idle,skia-software,x11,2,45,36428,26880,24236,5980,0,0,0.00,36428,36428
m3-idle,skia-software,x11,3,5,36612,26993,24328,5972,0,0,0.20,36612,36612
m3-idle,skia-software,x11,3,10,36612,27005,24352,5972,0,0,0.00,36612,36612
m3-idle,skia-software,x11,3,20,36612,26995,24332,5972,0,0,0.00,36612,36612
m3-idle,skia-software,x11,3,30,36612,27008,24356,5972,0,0,0.00,36612,36612
m3-idle,skia-software,x11,3,45,36612,27006,24352,5972,0,0,0.00,36612,36612
m3-account-diagnostic-ready,skia-software,x11,1,5,36880,27293,24628,6388,0,0,1.20,36880,36880
m3-account-diagnostic-ready,skia-software,x11,1,10,36880,27298,24616,6388,0,0,0.00,36880,36880
m3-account-diagnostic-ready,skia-software,x11,1,20,38988,28764,25996,6984,0,0,0.30,38988,38988
m3-account-diagnostic-ready,skia-software,x11,1,60,38988,28776,26020,6984,0,0,0.00,38988,38988
m3-account-diagnostic-ready,skia-software,x11,1,120,38988,28767,25996,6984,0,0,0.00,38988,38988
m3-account-diagnostic-ready,skia-software,x11,1,135,38988,28754,25972,6984,0,0,0.00,38988,38988
