test_case,renderer,platform,run,seconds,rss_kib,pss_kib,uss_kib,anonymous_kib,swap_kib,swap_pss_kib,cpu_percent,vm_hwm_kib,peak_rss_kib
idle,skia-software,x11,1,5,38980,29352,26732,8264,0,0,3.60,38980,38980
idle,skia-software,x11,1,10,38980,29356,26736,8264,0,0,0.00,38980,38980
idle,skia-software,x11,1,20,38980,29352,26732,8264,0,0,0.00,38980,38980
idle,skia-software,x11,1,30,38980,29354,26736,8264,0,0,0.00,38980,38980
idle,skia-software,x11,1,45,38980,29355,26736,8264,0,0,0.00,38980,38980
idle,skia-software,x11,2,5,38704,29154,26524,8264,0,0,3.60,38704,38704
idle,skia-software,x11,2,10,38704,29157,26528,8264,0,0,0.00,38704,38704
idle,skia-software,x11,2,20,38704,29154,26524,8264,0,0,0.00,38704,38704
idle,skia-software,x11,2,30,38704,29155,26524,8264,0,0,0.00,38704,38704
idle,skia-software,x11,2,45,38704,29147,26496,8264,0,0,0.00,38704,38704
idle,skia-software,x11,3,5,38744,29151,26512,8276,0,0,3.60,38744,38744
idle,skia-software,x11,3,10,38744,29156,26512,8276,0,0,0.00,38744,38744
idle,skia-software,x11,3,20,38744,29154,26512,8276,0,0,0.00,38744,38744
idle,skia-software,x11,3,30,38744,29151,26512,8276,0,0,0.00,38744,38744
idle,skia-software,x11,3,45,38744,29148,26508,8276,0,0,0.00,38744,38744
credential-recovery-soak,skia-software,x11,1,5,39448,29778,27132,8576,0,0,3.60,39448,39448
credential-recovery-soak,skia-software,x11,1,10,39448,29780,27136,8576,0,0,0.00,39448,39448
credential-recovery-soak,skia-software,x11,1,20,39448,29777,27132,8576,0,0,0.00,39448,39448
credential-recovery-soak,skia-software,x11,1,60,39448,29781,27136,8576,0,0,0.00,39448,39448
credential-recovery-soak,skia-software,x11,1,120,39448,29757,27092,8576,0,0,0.00,39448,39448
credential-recovery-soak,skia-software,x11,1,300,39448,29757,27092,8576,0,0,0.00,39448,39448
credential-recovery-soak,skia-software,x11,1,600,39448,29755,27096,8576,0,0,0.00,39448,39448
credential-recovery-soak,skia-software,x11,1,615,39448,29776,27136,8576,0,0,0.00,39448,39448
content-lifecycle-soak,skia-software,x11,1,5,39032,29381,26744,8308,0,0,1.60,39032,39032
content-lifecycle-soak,skia-software,x11,1,10,40084,30441,27808,9168,0,0,4.39,40084,40084
content-lifecycle-soak,skia-software,x11,1,20,40084,30441,27808,9168,0,0,99.48,40084,40084
content-lifecycle-soak,skia-software,x11,1,60,40032,30388,27756,9116,0,0,60.51,40032,40084
content-lifecycle-soak,skia-software,x11,1,120,40032,30383,27748,9116,0,0,0.00,40032,40084
content-lifecycle-soak,skia-software,x11,1,300,40032,30378,27740,9116,0,0,0.00,40032,40084
content-lifecycle-soak,skia-software,x11,1,600,40032,30380,27744,9116,0,0,0.00,40032,40084
content-lifecycle-soak,skia-software,x11,1,615,40032,30388,27756,9116,0,0,0.00,40032,40084
