test_case,renderer,platform,run,seconds,rss_kib,pss_kib,uss_kib,anonymous_kib,swap_kib,swap_pss_kib,cpu_percent,vm_hwm_kib,peak_rss_kib
m4-idle,skia-software,x11,1,5,32552,21588,18672,6600,13732,0,4.40,32552,32552
m4-idle,skia-software,x11,1,10,32556,21364,18316,6604,13732,0,0.80,32556,32556
m4-idle,skia-software,x11,1,20,32556,21361,18316,6604,13732,0,0.00,32556,32556
m4-idle,skia-software,x11,1,30,32540,21329,18292,6604,13732,0,0.00,32540,32556
m4-idle,skia-software,x11,1,45,30116,18889,15836,6604,13732,0,0.00,30420,32556
m4-idle,skia-software,x11,2,5,31780,20678,17668,6044,13732,0,2.00,31780,31780
m4-idle,skia-software,x11,2,10,31780,20699,17704,6044,13732,0,0.00,31780,31780
m4-idle,skia-software,x11,2,20,31780,20696,17704,6044,13732,0,0.00,31780,31780
m4-idle,skia-software,x11,2,30,31780,20698,17704,6044,13732,0,0.00,31780,31780
m4-idle,skia-software,x11,2,45,31780,20586,17572,6044,13732,0,0.00,31780,31780
m4-idle,skia-software,x11,3,5,32008,18158,14260,6048,13724,0,1.20,32008,32008
m4-idle,skia-software,x11,3,10,32008,18157,14264,6048,14160,0,0.00,32008,32008
m4-idle,skia-software,x11,3,20,32008,18158,14260,6048,14160,0,0.00,32008,32008
m4-idle,skia-software,x11,3,30,32008,18158,14260,6048,14160,0,0.00,32008,32008
m4-idle,skia-software,x11,3,45,25916,12547,8724,700,19756,5348,0.00,30696,32008
m4-account-receive,skia-software,x11,1,5,32860,20498,16388,6384,13104,0,0.40,32860,32860
m4-account-receive,skia-software,x11,1,10,32860,20503,16396,6384,13104,0,0.00,32860,32860
m4-account-receive,skia-software,x11,1,20,37024,24023,19804,8188,12500,0,0.60,37024,37024
m4-account-receive,skia-software,x11,1,60,37024,24009,19804,8188,12500,0,0.00,37024,37024
m4-account-receive,skia-software,x11,1,120,37024,24012,19804,8188,13096,0,0.00,37024,37024
m4-account-receive,skia-software,x11,1,135,37024,24015,19812,8188,13096,0,0.00,37024,37024
